,label,relax_work,relaxed,energy,energy_fu,nform,volume,volume_fu,xc,elabel,gga,algo,isif,nelm,prec,ediff,encut,ispin,lasph,lreal,lwave,ncore,nedos,sigma,ismear,nelmin,nwrite,icorelevel,aexx,isym,kpar,time,lvhar,lhfcalc,hfscreen,lmaxfock,precfock,ldau,ldauj,ldaul,ldauu,lmaxmix,ldautype,type,group,seed_name,energy_pa,energy_pa_ref
0,Ag2Se_P21c-200928-120748-b9c74c,6fa4814d-a4f6-414e-81b9-a872920c9ca6,279342,-42.37694388,-10.59423597,4.0,230.7444226528326,57.68610566320815,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.53141199,0.021269481666666756
1,Ag2Se_P21c-200928-120748-b9c74c,fa0e244d-de5a-4427-99b4-a06be4afcc28,296013,-47.21458764,-11.80364691,4.0,222.70991680599315,55.677479201498286,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.93454897,0.017605389166666985
2,Ag2Se_P21c-200928-114709-ab95b1,5cc8cad9-0711-486f-8c00-21781cfa4da4,279315,-42.26719652,-10.56679913,4.0,232.05629867129687,58.01407466782422,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5222663766666664,0.03041509500000039
3,Ag2Se_P21c-200928-114709-ab95b1,a9138a12-ed91-4e13-a8eb-374a3ab22b60,297225,-46.97972099,-11.7449302475,4.0,223.09714826468993,55.774287066172484,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9149767491666663,0.03717761000000053
4,Ag2Se_P21c-200928-113853-21aaf3,11f6fbaa-eaab-47de-b9eb-250440eb0e69,279633,-42.20916529,-10.5522913225,4.0,230.0123053602684,57.5030763400671,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5174304408333334,0.03525103083333336
5,Ag2Se_P21c-200928-113853-21aaf3,baaabef5-8c8e-4b01-b884-ada5d17bb086,296147,-46.94216891,-11.7355422275,4.0,222.095096084779,55.52377402119475,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9118474091666666,0.040306950000000175
6,Ag2Se_P21c-200928-112257-5c525c,0ce3c9a7-c629-4ea2-ac96-19c83d46a2bd,295664,-46.95039707,-11.7375992675,4.0,218.52502581463528,54.63125645365882,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9125330891666668,0.03962127000000004
7,Ag2Se_P21c-200928-112257-5c525c,b2d1ac28-a553-4896-b0c2-2d35cca5095c,279084,-42.2151376,-10.5537844,4.0,226.1793212545728,56.5448303136432,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.517928133333333,0.034753338333333605
8,Ag2Se_P21c-200928-112150-b6bc2a,a574bd8b-c4e6-424c-8623-80f4c6edf8af,295742,-47.21401195,-11.8035029875,4.0,222.65432125931227,55.66358031482807,pbe,relax__structure,,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.9345009958333335,0.01765336333333334
9,Ag2Se_P21c-200928-112150-b6bc2a,d50cdbfa-171a-4b6b-8d49-7fd281c08b80,279149,-42.3821748,-10.5955437,4.0,230.76192718586861,57.690481796467154,pbesol,relax__structure,ps,normal,3,200,accurate,1.2e-05,550,2,True,False,False,12,2000,0.05,0,4,1,1.0,,,,,,,,,,,,,,,,AIRSS,ag2se/run4/airss-refine-structure,Ag2Se_P21c,-3.5318479000000003,0.02083357166666655
