#k-distance frequency[THz]
0.00000000 -0.81845617
0.00259421 -0.81678584
0.00518843 -0.81177435
0.00778263 -0.80342021
0.01037685 -0.79172123
0.01297106 -0.77667607
0.01556528 -0.75828819
0.01815948 -0.73657421
0.02075369 -0.71157848
0.02334791 -0.68339632
0.02594212 -0.65220783
0.02853634 -0.61832151
0.03113054 -0.58222181
0.03372476 -0.55495352
0.03631897 -0.53513922
0.03891317 -0.51443585
0.04150739 -0.49296171
0.04410160 -0.47084799
0.04669582 -0.44824025
0.04929003 -0.42530186
0.05188425 -0.40221875
0.05447845 -0.37920553
0.05707266 -0.35651344
0.05966688 -0.33444018
0.06226108 -0.31334139
0.06485530 -0.29364249
0.06744951 -0.27584765
0.07004373 -0.26053921
0.07263794 -0.24837532
0.07263794 -0.24837532
0.07528147 -0.25642680
0.07792501 -0.26053020
0.08056856 -0.26086743
0.08321210 -0.25747141
0.08585563 -0.25021522
0.08849917 -0.23878486
0.09114271 -0.22259935
0.09378625 -0.20061311
0.09642980 -0.17077277
0.09907333 -0.12800581
0.10171687 -0.04492105
0.10436041 0.11751681
0.10700394 0.17592484
0.10964750 0.22189359
0.11229103 0.26172954
0.11493457 0.29762370
0.11757811 0.33062854
0.12022164 0.36135160
0.12286520 0.39019571
0.12550873 0.41745992
0.12815227 0.44338664
0.13079581 0.46818440
0.13343934 0.49203884
0.13608288 0.51511777
0.13872643 0.53757350
0.14136997 0.55954402
0.14401351 0.58110401
0.14401351 0.58110401
0.14660771 0.55985460
0.14920193 0.53685673
0.15179614 0.51234621
0.15439036 0.48653828
0.15698456 0.45962212
0.15957878 0.43174954
0.16217299 0.40302242
0.16476720 0.37347753
0.16736142 0.34306584
0.16995562 0.31162137
0.17254984 0.27880795
0.17514405 0.24401525
0.17773827 0.20611892
0.18033247 0.16278314
0.18292668 0.10737175
0.18552090 -0.04960712
0.18811511 -0.12442097
0.19070933 -0.16586256
0.19330353 -0.19621915
0.19589775 -0.21996663
0.19849196 -0.23891048
0.20108616 -0.25396046
0.20368038 -0.26563104
0.20627459 -0.27423403
0.20886881 -0.27996589
0.21146302 -0.28295055
0.21405724 -0.28326054
0.21665144 -0.28093794
0.21665144 -0.28093794
0.21929498 -0.29421442
0.22193852 -0.31326437
0.22458207 -0.33672515
0.22722560 -0.36326669
0.22986914 -0.39172115
0.23251268 -0.42112529
0.23515621 -0.45071051
0.23779975 -0.47987447
0.24044330 -0.50815093
0.24308684 -0.53518386
0.24573038 -0.56070696
0.24837391 -0.58452798
0.25101745 -0.60651670
0.25366100 -0.62659556
