#k-distance frequency[THz]
0.00000000 -0.00000006
0.00259265 0.01552317
0.00518532 0.03117330
0.00777797 0.04707303
0.01037064 0.07158978
0.01296329 0.09017256
0.01555595 0.10917199
0.01814861 0.12863331
0.02074126 0.14858390
0.02333392 0.16903275
0.02592658 0.18997089
0.02851924 0.21137268
0.03111189 0.23319764
0.03370456 0.25539274
0.03629721 0.27789471
0.03888986 0.30063215
0.04148253 0.32352728
0.04407518 0.34649711
0.04666785 0.36945387
0.04926050 0.39230465
0.05185317 0.41495017
0.05444582 0.43728261
0.05703847 0.45918271
0.05963114 0.48051634
0.06222379 0.50113175
0.06481646 0.52085909
0.06740911 0.53951542
0.07000177 0.55691879
0.07259443 0.57291340
0.07259443 0.57291340
0.07520329 0.57382735
0.07781216 0.57651969
0.08042103 0.58084764
0.08302989 0.58659230
0.08563878 0.59348466
0.08824765 0.60123693
0.09085652 0.60957351
0.09346538 0.61825605
0.09607425 0.62709781
0.09868312 0.63596638
0.10129198 0.64477687
0.10390085 0.65348019
0.10650972 0.66205051
0.10911861 0.67047458
0.11172747 0.67874383
0.11433634 0.68684920
0.11694521 0.69477781
0.11955407 0.70251093
0.12216294 0.71002245
0.12477181 0.71727759
0.12738067 0.72423152
0.12998954 0.73082788
0.13259843 0.73699752
0.13520730 0.74265756
0.13781617 0.74771200
0.14042503 0.75205455
0.14303390 0.75557506
0.14564277 0.75817001
0.14825163 0.75975628
0.15086050 0.76028545
0.15346937 0.75975479
0.15607826 0.75821175
0.15868712 0.75575127
0.16129599 0.75250781
0.16390486 0.74864522
0.16651372 0.74434670
0.16912259 0.73980603
0.17173146 0.73521994
0.17434032 0.73078129
0.17694919 0.72667282
0.17955808 0.72306113
0.18216695 0.72009121
0.18477581 0.71788147
0.18738468 0.71651960
0.18999355 0.71605955
0.18999355 0.71605955
0.19258620 0.71664316
0.19517887 0.71839252
0.19777152 0.72130292
0.20036418 0.72536599
0.20295684 0.73056888
0.20554950 0.73689331
0.20814215 0.74431428
0.21073481 0.75279877
0.21332747 0.76230433
0.21592012 0.77277764
0.21851279 0.78415297
0.22110544 0.79635043
0.22369811 0.80927369
0.22629076 0.82280645
0.22888341 0.83680632
0.23147608 0.85109361
0.23406873 0.86542972
0.23666140 0.87947615
0.23925405 0.89272330
0.24184672 0.90441019
0.24443937 0.91360853
0.24703202 0.91977159
0.24962469 0.92328584
0.25221734 0.92507120
0.25481000 0.92590890
0.25740266 0.92627201
0.25999532 0.92641153
0.26258797 0.92644640
0.26258797 0.92644640
0.26519684 0.90502614
0.26780571 0.88333457
0.27041457 0.86157136
0.27302344 0.83988119
0.27563233 0.81836755
0.27824120 0.79709860
0.28085006 0.77610981
0.28345893 0.75540546
0.28606780 0.73495981
0.28867666 0.71471855
0.29128553 0.69460112
0.29389440 0.67450419
0.29650327 0.65430690
0.29911216 0.63387792
0.30172102 0.61308433
0.30432989 0.59180186
0.30693876 0.56992541
0.30954762 0.54737845
0.31215649 0.52411983
0.31476536 0.50014696
0.31737422 0.47549504
0.31998309 0.45023302
0.32259198 0.42445757
0.32520085 0.39828630
0.32780971 0.37185135
0.33041858 0.34529423
0.33302745 0.31876180
0.33563631 0.29240372
0.33824518 0.26637084
0.34085405 0.24081439
0.34346291 0.21588560
0.34607180 0.19173540
0.34868067 0.16851398
0.35128954 0.14636976
0.35389841 0.12544766
0.35650727 0.10588615
0.35911614 0.08781276
0.36172501 0.07133756
0.36433387 0.05654381
0.36694274 0.04347482
0.36955163 0.03211541
0.37216050 0.02249351
0.37476936 0.01360421
0.37737823 0.00633369
0.37998710 0.00000001
0.37998710 -0.00000005
0.38261312 0.03375177
0.38523915 0.06752978
0.38786518 0.10135689
0.39049121 0.14051775
0.39311724 0.17556537
0.39574327 0.21053986
0.39836929 0.24540884
0.40099532 0.28013118
0.40362135 0.31465611
0.40624738 0.34892254
0.40887341 0.38045664
0.41149944 0.41094247
0.41412546 0.44057298
0.41675149 0.46934816
0.41937752 0.49727547
0.42200355 0.52436735
0.42462958 0.55063849
0.42725560 0.57610254
0.42988163 0.60076756
0.43250766 0.62462865
0.43513369 0.64765315
0.43775972 0.66974579
0.44038575 0.69065004
0.44301177 0.70961000
0.44563780 0.72405275
0.44563780 0.72405275
0.44823045 0.72471448
0.45082312 0.72666919
0.45341577 0.72982820
0.45600844 0.73405312
0.45860109 0.73916973
0.46119376 0.74498602
0.46378641 0.75131094
0.46637906 0.75796926
0.46897173 0.76480917
0.47156438 0.77170236
0.47415704 0.77853982
0.47674970 0.78522710
0.47934236 0.79168170
0.48193501 0.79783296
0.48452767 0.80362381
0.48712033 0.80901279
0.48971298 0.81397505
0.49230565 0.81850132
0.49489830 0.82259469
0.49749097 0.82626553
0.50008362 0.82952584
0.50267627 0.83238393
0.50526894 0.83484082
0.50786159 0.83688884
0.51045426 0.83851273
0.51304691 0.83969299
0.51563958 0.84041050
0.51823223 0.84065137
0.51823223 0.84065137
0.52084109 0.84070205
0.52344996 0.84084461
0.52605883 0.84105032
0.52866769 0.84127037
0.53127658 0.84143469
0.53388545 0.84145078
0.53649432 0.84120352
0.53910318 0.84055750
0.54171205 0.83936475
0.54432092 0.83748160
0.54692979 0.83479739
0.54953865 0.83127230
0.55214752 0.82697199
0.55475641 0.82208085
0.55736528 0.81688371
0.55997414 0.81172344
0.56258301 0.80695281
0.56519188 0.80289505
0.56780074 0.79981811
0.57040961 0.79792030
0.57301848 0.79732330
0.57562734 0.79806875
0.57823623 0.80011553
0.58084510 0.80333562
0.58345397 0.80750631
0.58606283 0.81229748
0.58867170 0.81725524
0.59128057 0.82179225
0.59388943 0.82521173
0.59649830 0.82680386
0.59910717 0.82601580
0.60171606 0.82260492
0.60432493 0.81666544
0.60693379 0.80853798
0.60954266 0.79869735
0.61215153 0.78767479
0.61476039 0.77601466
0.61736926 0.76425006
0.61997813 0.75288715
0.62258699 0.74239339
0.62519588 0.73318746
0.62780475 0.72562977
0.63041362 0.72001316
0.63302248 0.71655426
0.63563135 0.71538632
0.63563135 0.71538632
0.63822400 0.71441800
0.64081667 0.71283402
0.64340932 0.71078200
0.64600199 0.70840413
0.64859464 0.70583710
0.65118730 0.70146088
0.65377996 0.69532776
0.65637261 0.68818934
0.65896527 0.68015472
0.66155793 0.67135403
0.66415059 0.66193109
0.66674324 0.65203740
0.66933591 0.64182733
0.67192856 0.63145455
0.67452121 0.62106943
0.67711388 0.61081708
0.67970653 0.60083595
0.68229920 0.59125672
0.68489185 0.58220143
0.68748452 0.57378276
0.69007717 0.56610342
0.69266982 0.55925559
0.69526249 0.55332041
0.69785514 0.54836751
0.70044781 0.54445456
0.70304046 0.54162690
0.70563312 0.53991717
0.70822578 0.53934507
0.70822578 0.53934507
0.71085180 0.54131486
0.71347783 0.54716946
0.71610386 0.55675067
0.71872989 0.56981297
0.72135592 0.58604607
0.72398194 0.60509945
0.72660797 0.62660461
0.72923400 0.65019282
0.73186003 0.67550711
0.73448606 0.70220881
0.73711209 0.72997925
0.73973811 0.74722151
0.74236414 0.75419066
0.74499017 0.76164245
0.74761620 0.77002232
0.75024223 0.77963358
0.75286826 0.79065339
0.75549428 0.80316033
0.75812031 0.81715860
0.76074634 0.83259561
0.76337237 0.84937313
0.76599840 0.86735299
0.76862442 0.88635677
0.77125045 0.90615666
0.77387648 0.92644640

0.00000000 -0.00000001
0.00259265 0.03659343
0.00518532 0.07308653
0.00777797 0.10937899
0.01037064 0.14555017
0.01296329 0.18122518
0.01555595 0.21642281
0.01814861 0.25104534
0.02074126 0.28499404
0.02333392 0.31816920
0.02592658 0.35047052
0.02851924 0.38179761
0.03111189 0.41205101
0.03370456 0.44113359
0.03629721 0.46895257
0.03888986 0.49542215
0.04148253 0.52046694
0.04407518 0.54402631
0.04666785 0.56605988
0.04926050 0.58655432
0.05185317 0.60553145
0.05444582 0.62305733
0.05703847 0.63925127
0.05963114 0.63143712
0.06222379 0.62220126
0.06481646 0.61191885
